date,title,url,publication
1/28/15,CSE tracks millions of downloads daily: Snowden documents,http://www.cbc.ca/news/canada/cse-tracks-millions-of-downloads-daily-snowden-documents-1.2930120,CBC
1/28/15,CSE presentation: Levitation,https://www.documentcloud.org/documents/1510163-cse-presentation-on-the-levitation-project.html,CBC
1/17/15,Part 2: How the NSA Reads Over Shoulders of Other Spies,http://www.spiegel.de/international/world/new-snowden-docs-indicate-scope-of-nsa-preparations-for-cyber-battle-a-1013409-2.html,Der Spiegel
1/17/15,Description of an NSA employee on fifth party access / When the targeted fourth party has someone under surveillance who puts others under surveillance,http://www.spiegel.de/media/media-35679.pdf,Der Spiegel
1/17/15,4th party collection / Taking advantage of non-partner computer network exploitation activity,http://www.spiegel.de/media/media-35680.pdf,Der Spiegel
1/17/15,Combination of offensive and defensive missions / How fourth-party missions are being performed,http://www.spiegel.de/media/media-35681.pdf,Der Spiegel
1/17/15,Overview of the TRANSGRESSION program to analyze and exploit foreign CNA/CNE exploits,http://www.spiegel.de/media/media-35682.pdf,Der Spiegel
1/17/15,"NSA example SNOWGLOBE, in which a suspected French government trojan is analyzed to find out if it can be helpful for own interests",http://www.spiegel.de/media/media-35683.pdf,Der Spiegel
1/17/15,"NSA fourth party access / ""I drink your milkshake""",http://www.spiegel.de/media/media-35684.pdf,Der Spiegel
1/17/15,NSA Program TUTELAGE to instrumentalize third party attack tools,http://www.spiegel.de/media/media-35685.pdf,Der Spiegel
1/17/15,"Codename BYZANTINE HADES / NSA research on the targets of Chinese network exploitation tools, the targets and actors",http://www.spiegel.de/media/media-35686.pdf,Der Spiegel
1/17/15,CSEC document on the handling of existing trojans when trojanizing computers,http://www.spiegel.de/media/media-35688.pdf,Der Spiegel
1/17/15,Analysis of Chinese methods and performed actions in the context of computer network exploitation,http://www.spiegel.de/media/media-35687.pdf,Der Spiegel
1/17/15,Overview on the NSA use of bots and the DEFIANTWARRIOR program,http://www.spiegel.de/media/media-35689.pdf,Der Spiegel
1/17/15,HIDDENSALAMANDER / Program for the recognition of botnet activity and options for takeover of clients and data,http://www.spiegel.de/media/media-35678.pdf,Der Spiegel
1/17/15,The Digital Arms Race: NSA Preps America for Future Battle,http://www.spiegel.de/international/world/new-snowden-docs-indicate-scope-of-nsa-preparations-for-cyber-battle-a-1013409.html,Der Spiegel
